age,workclass,education-num,occupation,hours-per-week,salary
39,State-gov,13,Adm-clerical,40,<=50K
38,Private,9,Handlers-cleaners,40,<=50K
53,Private,7,Handlers-cleaners,40,<=50K
28,Private,13,Prof-specialty,40,<=50K
37,Private,14,Exec-managerial,40,<=50K
49,Private,5,Other-service,16,<=50K
31,Private,14,Prof-specialty,50,>50K
42,Private,13,Exec-managerial,40,>50K
37,Private,10,Exec-managerial,80,>50K
30,State-gov,13,Prof-specialty,40,>50K
23,Private,13,Adm-clerical,30,<=50K
32,Private,12,Sales,50,<=50K
40,Private,11,Craft-repair,40,>50K
34,Private,4,Transport-moving,45,<=50K
32,Private,9,Machine-op-inspct,40,<=50K
38,Private,7,Sales,50,<=50K
40,Private,16,Prof-specialty,60,>50K
54,Private,9,Other-service,20,<=50K
35,Federal-gov,5,Farming-fishing,40,<=50K
43,Private,7,Transport-moving,40,<=50K
59,Private,9,Tech-support,40,<=50K
56,Local-gov,13,Tech-support,40,>50K
19,Private,9,Craft-repair,40,<=50K
39,Private,9,Exec-managerial,80,<=50K
49,Private,9,Craft-repair,40,<=50K
23,Local-gov,12,Protective-serv,52,<=50K
20,Private,10,Sales,44,<=50K
45,Private,13,Exec-managerial,40,<=50K
30,Federal-gov,10,Adm-clerical,40,<=50K
22,State-gov,10,Other-service,15,<=50K
48,Private,7,Machine-op-inspct,40,<=50K
21,Private,10,Machine-op-inspct,40,<=50K
19,Private,9,Adm-clerical,25,<=50K
31,Private,10,Sales,38,>50K
31,Private,5,Machine-op-inspct,43,<=50K
24,Private,13,Tech-support,50,<=50K
49,Private,9,Adm-clerical,40,<=50K
25,Private,9,Handlers-cleaners,35,<=50K
57,Federal-gov,13,Prof-specialty,40,>50K
53,Private,9,Machine-op-inspct,38,<=50K
44,Private,14,Exec-managerial,40,<=50K
41,State-gov,11,Craft-repair,40,<=50K
29,Private,11,Prof-specialty,43,<=50K
25,Private,10,Exec-managerial,40,<=50K
18,Private,9,Other-service,30,<=50K
47,Private,15,Prof-specialty,60,>50K
50,Federal-gov,13,Exec-managerial,55,>50K
43,Private,10,Tech-support,40,>50K
46,Private,3,Machine-op-inspct,40,<=50K
35,Private,11,Other-service,40,<=50K
41,Private,9,Adm-clerical,48,<=50K
30,Private,9,Machine-op-inspct,40,<=50K
30,Private,13,Sales,40,<=50K
48,Private,9,Transport-moving,40,<=50K
42,Private,16,Prof-specialty,45,>50K
29,Private,10,Tech-support,58,<=50K
36,Private,9,Craft-repair,40,<=50K
28,Private,10,Adm-clerical,40,<=50K
53,Private,9,Adm-clerical,40,>50K
19,Private,10,Prof-specialty,32,<=50K
31,Private,13,Sales,40,<=50K
23,Private,10,Machine-op-inspct,40,<=50K
79,Private,10,Prof-specialty,20,<=50K
27,Private,9,Other-service,40,<=50K
40,Private,12,Adm-clerical,40,<=50K
18,Private,7,Other-service,22,<=50K
31,Local-gov,4,Farming-fishing,40,<=50K
18,Private,9,Sales,30,<=50K
52,Private,13,Other-service,40,<=50K
46,Private,9,Other-service,40,<=50K
59,Private,9,Sales,48,<=50K
44,Private,9,Craft-repair,40,>50K
53,Private,9,Sales,35,<=50K
49,Local-gov,9,Protective-serv,40,>50K
33,Private,14,Prof-specialty,50,<=50K
30,Private,5,Sales,40,<=50K
43,Federal-gov,16,Prof-specialty,50,>50K
57,Private,11,Prof-specialty,40,<=50K
37,Private,10,Craft-repair,40,<=50K
28,Private,10,Machine-op-inspct,25,<=50K
30,Private,9,Sales,35,<=50K
34,Local-gov,13,Protective-serv,40,>50K
29,Local-gov,10,Handlers-cleaners,50,<=50K
37,Private,10,Sales,48,>50K
48,Private,12,Exec-managerial,40,<=50K
32,Federal-gov,9,Other-service,40,<=50K
76,Private,14,Exec-managerial,40,>50K
44,Private,13,Exec-managerial,60,>50K
20,Private,10,Tech-support,40,<=50K
29,Private,9,Craft-repair,40,<=50K
30,Private,7,Handlers-cleaners,40,<=50K
31,Local-gov,9,Adm-clerical,40,<=50K
42,Private,9,Handlers-cleaners,40,<=50K
24,Private,13,Sales,40,<=50K
38,Private,15,Prof-specialty,40,>50K
28,Private,10,Sales,25,<=50K
36,Private,9,Machine-op-inspct,40,<=50K
53,Private,5,Handlers-cleaners,50,<=50K
49,Local-gov,11,Craft-repair,40,>50K
55,Private,10,Sales,56,<=50K
22,Private,9,Craft-repair,41,<=50K
21,Private,10,Other-service,40,<=50K
40,Private,13,Exec-managerial,60,<=50K
30,Private,13,Exec-managerial,40,<=50K
29,State-gov,13,Prof-specialty,50,>50K
19,Private,10,Other-service,35,<=50K
47,Private,13,Exec-managerial,40,>50K
20,Private,10,Adm-clerical,28,<=50K
31,Private,12,Adm-clerical,40,>50K
39,Private,10,Craft-repair,40,<=50K
28,Private,12,Sales,60,<=50K
24,Private,9,Other-service,40,<=50K
37,Private,13,Sales,50,<=50K
46,Private,12,Tech-support,36,<=50K
38,Federal-gov,14,Prof-specialty,40,>50K
27,Private,11,Adm-clerical,35,<=50K
20,Private,10,Sales,20,<=50K
49,Private,10,Craft-repair,40,>50K
27,Private,10,Sales,40,<=50K
19,Private,10,Other-service,30,<=50K
45,Private,11,Prof-specialty,40,>50K
70,Private,10,Tech-support,40,<=50K
31,Private,9,Transport-moving,30,<=50K
22,Private,10,Other-service,24,<=50K
36,Private,9,Other-service,24,<=50K
64,Private,7,Craft-repair,40,<=50K
47,Local-gov,10,Adm-clerical,38,<=50K
34,Private,9,Adm-clerical,40,<=50K
33,Private,13,Exec-managerial,40,<=50K
21,Private,9,Craft-repair,35,<=50K
48,Private,9,Craft-repair,46,<=50K
23,Private,13,Handlers-cleaners,40,<=50K
29,Private,9,Craft-repair,60,<=50K
42,Private,13,Other-service,50,<=50K
25,Private,9,Other-service,40,<=50K
28,Private,9,Exec-managerial,40,<=50K
36,Private,10,Other-service,40,<=50K
39,Federal-gov,12,Exec-managerial,42,<=50K
46,State-gov,14,Protective-serv,40,<=50K
